0,000000,"000000's n,a,\"m\"e,",19750414,97223659,1746066929,-1746042042,24887;972787;24209750069;42135;42988;24530;1;-63.36299,101048;50599;54523;82825;45201;21767;110060;22623;54687;171398;114888;69590;73578,52367;109319;29662;126135;27173;80348;25280;906;161059;89791;40907;137666;92174,OHZ9rAVS30yxDfhmNlqUhaNOIVDI72Ot+O8lbwWNvhs=
0,000001,"000001's n,a,\"m\"e,",20030204,1827150851,1668883097,-1668809534,73563;463351;34085489613;83014;83406;72759;0;0,44663;31942;17584;42577;54701;42178;46223;47977;10162;15162;32695;40390;37097,45920;16993;18445;14517;37754;57268;10669;52082;53926;7539;52129;51482;44627,gNKXoltahWIsFhd/aWYDjMx+s7A6u3Qkvn4TIomhaGKO93/EBa4X3baDbIMdFODr
0,000002,"000002's n,a,\"m\"e,",19821130,748161317,1230922636,-1230908454,14182;344629;4887528478;26035;26616;13238;0;0,33650;14626;24037;26205;23932;14790;50818;12410;50516;4505;41119;43003;5018,24762;21224;29261;38337;42847;14319;1195;40594;18908;20793;40969;6298;45122,kPqmO8v6mLpNAbuDEp1xsNW3TZ2KWmrBpPe/C5ux7NwyiS0nboiHApPJot62E5ER
0,000003,"000003's n,a,\"m\"e,",20030420,394058175,77225923,-77126524,99399;985892;97996678908;93553;100091;93313;0;0,4314;105071;18004;66281;119435;121245;87357;24575;102904;11285;124196;88346;112879,19800;72178;63960;96975;88355;43082;128604;33049;114835;83943;48467;72483;120161,L4kRj0Tgg7rs2dDalvgHwilEJlsFWKg3xxehNkGqfiApwF08Hb3bSq/CMdv9KkFs
0,000004,"000004's n,a,\"m\"e,",19821106,418175412,2029602804,-2029586151,16653;841702;14016863406;9072;17211;8965;64;0,113252;64302;69048;19527;27793;34680;114572;131751;33854;42702;94576;6469;89176,90268;37036;6024;160326;5014;71300;30998;29282;135104;167436;1189;26787;80938,4AhmqwXu2HIWZARnahNlAZuonuwRqbLnt/lXqEj5aUnMkXpDJhcXkxxUqw6FzXGJ
0,000005,"000005's n,a,\"m\"e,",20101104,1346177053,27877414,-27838352,39062;742786;29014706732;56799;56808;38309;0;0,49033;36746;28627;108552;7040;28953;120218;23202;40705;49465;98157;94236;57852,96623;3877;65889;8105;44609;22224;64587;88496;41144;39117;98525;71258;98332,FtbUrVg45XYq4NsWygReUFHqgfuYifc8MOan/rlxOWp8dIbFxncsCiE3RNh8YuyF
0,000006,"000006's n,a,\"m\"e,",20230104,1554625353,1741976642,-1741908035,68607;675244;46326465108;52865;68889;52110;0;0,65196;60509;19397;30499;82342;23931;51571;56375;54796;36624;65635;69448;58921,95027;72009;46816;56242;52449;11339;95894;93819;86899;24928;10773;9579;19470,Hr3VeAiPtXubBi0AhIVBXvGdLFWkWArbjE+1QcTt2BTtVY72Rkcr7TuQElyHp2yN
0,000007,"000007's n,a,\"m\"e,",20141213,773490733,1333472583,-1333387649,84934;86625;7357407750;45379;85873;44627;16;0,12319;1092;3636;5006;3679;10685;10668;7616;13341;2033;4686;10823;1041,2496;11778;9304;8000;8641;11099;10896;5660;1457;3236;9558;1454;3046,ziLiurmByNsLqK6qWtE0S2gHb+Q3nr0kcJsNyLojaU/JsWqizWDd4U6cabVvKAX6
0,000008,"000008's n,a,\"m\"e,",20210829,1707775843,2117719740,-2117636551,83189;808558;67263131462;7983;83792;7283;0;0,62014;35450;95179;90195;27685;19050;90107;23222;118358;108223;51330;35613;52132,121391;93769;40305;8198;26738;54110;64153;98632;109611;65401;30858;1464;93928,12kPsKbR6iMfGvxG5JC9TtI60AbMQFxso/ODAgi4uVBSfH44mF47bYAEF7goP0sE
0,000009,"000009's n,a,\"m\"e,",19730201,1160957634,202315527,-202305732,9795;570055;5583688725;72652;72699;9532;256;-8.509979,52154;57645;39788;43008;43390;55698;18055;53289;42041;57306;37021;53424;17236,42278;80038;32332;23831;26452;71560;54823;63992;43239;57543;41947;16932;15088,gYz6sacVLZpucX+ZonmvZ6uWFwnqyBoIwLQ9uM0Kbdpe+GpOL3SNEu1n/hScLV5K
0,000010,"000010's n,a,\"m\"e,",20180922,1885881695,332374907,-332336866,38041;241745;9196221545;4423;38892;3959;256;-79.19454,23492;30073;33074;35341;22605;26248;23185;2432;3625;2275;11098;24809;3488,10804;25541;31778;23026;25718;22396;11213;8248;4744;17218;18219;28438;14402,Wi+DKwJEcSJQbc3ncygQAQ7zu00haLfpJBQbDiloTT9aaQ68sEV1Ltk/zbPTndf9
0,000011,"000011's n,a,\"m\"e,",19840427,715421059,1998623861,-1998546849,77012;899930;69305409160;43757;77057;43660;0;0,91433;86086;13102;25285;29985;1671;99183;65981;23863;139825;78877;119391;125248,94811;14079;26968;108863;89632;15605;131619;60849;27723;33718;149050;14263;132750,kNXmbbw04scZ4UiFZklnBdLU/yLR9eg830zoWIGwQEa5hl2/zuXn3st9nK9ng0IE
0,000012,"000012's n,a,\"m\"e,",20130325,268044757,681389842,-681326512,63330;448953;28432193490;22345;63798;22166;2;-28.28688,34980;34825;27161;18903;34399;41486;20558;35641;18266;37105;53252;42512;49865,44535;54111;34844;75176;3175;35601;32537;26888;8771;5751;25321;61569;40674,pZ5sCdbb8I1j8eHy0j5PRHe35V+HCPRy92vgJCdc2C67TngO7Dz5SyyEUEwcTMo2
0,000013,"000013's n,a,\"m\"e,",20170203,1146324798,1562654135,-1562646384,7751;734632;5694132632;62655;63043;7272;0;0,12869;13234;81501;29032;72659;86819;64494;69073;48746;100811;49989;29733;75672,108218;88803;56343;16376;116333;84191;129;56198;60662;14477;59830;4773;68299,Lsw6MjcJ1M07hi0y6XUMmVGgDevEcNpNsfy1SIWL04VBmilfmh1M+MdQwgAjA4qF
0,000014,"000014's n,a,\"m\"e,",19800208,1872494940,533902462,-533899943,2519;2250;5667750;51693;51928;2415;0;0,124;73;266;269;208;256;157;211;127;116;88;138;217,417;245;201;172;323;307;48;257;2;117;100;52;9,7+Ka2OMdplDXfCougZvs8rl9oS5ULGSm9wPEazWvTxINsfBWHtugCtFo+XAwFF0h
