0,000000,"000000's n,a,\"m\"e,",20210818,1148543058,1291064966,-1291015851,49115;343718;16881709570;66800;67418;48958;4;0,42241;15399;1182;38154;37374;44132;44092;30309;24436;28843;12899;22169;2488,49370;21134;29099;12700;22260;23063;26222;46378;13124;8675;42167;60;49466,Zm9oQfN0URUhK5FO53h7GarRPj08muEq0ae/iJy6ZRdvjphSbLINgibMgl/eT8fh
0,000001,"000001's n,a,\"m\"e,",19730418,1254851372,1742030438,-1741989672,40766;925373;37723755718;23251;40894;22543;0;0,52088;110706;36337;88843;26809;22372;148399;137615;5402;31905;90007;76150;98740,7933;10825;46268;90486;111934;83455;120607;80132;19518;24120;101807;102632;125656,4OlEhKVtLMJqirkhd74UtNw5cxtGlQO6oJ/z16N1B8OB+C5mU7/PQVuT3Ivwzlne
0,000002,"000002's n,a,\"m\"e,",20041210,1784799520,262580537,-262539887,40650;72861;2961799650;16241;41410;16114;1;0,255;10339;3373;4439;11516;4574;1617;7442;5081;5843;3694;6143;8545,423;7303;3516;687;14173;3916;2559;7454;6183;10949;2534;11579;1585,Eq7f33AYXoebgX6iEczq73VyUeEqFjb1SuMwqvivQP0=
0,000003,"000003's n,a,\"m\"e,",19830702,1373982729,121693972,-121612706,81266;211320;17173131120;36763;81818;35789;32;0,21222;10054;34539;8721;615;19741;13266;11216;24093;29236;3731;3303;31583,26229;20689;4591;23329;26462;10575;17339;3742;3276;16959;25186;18526;14417,d0LZYT5FM/fyEYGfWVFf13AxE7tYAG05GXBLMfS8IMqxwotYc5Id/2Sw2Yx2SzvO
0,000004,"000004's n,a,\"m\"e,",19921104,1336900098,303420302,-303343686,76616;659421;50522199336;55583;77130;54901;0;0,78948;102563;2133;16316;98423;4839;44614;50802;99760;271;67888;77146;15718,9187;18996;72305;5947;81908;72332;68776;47250;67711;10614;58821;50313;95261,5PoJKBVH+vaSSysUSJuW3MbH7o3fgg7/yAXkD43f6fHwB7cqySryp7Zrg6yTRZPj
0,000005,"000005's n,a,\"m\"e,",19830405,379218914,1978792269,-1978762652,29617;265895;7875012215;59989;60399;29382;0;0,5483;25522;24586;13496;17947;22724;20257;20244;28192;32012;24491;13774;17167,33964;511;17440;23992;33613;34093;5418;2240;31636;14833;22912;34704;10539,bFHXsauROfJG/KyqT+FyrTe4Jz7IzonlkDCySC4TnlI=
0,000006,"000006's n,a,\"m\"e,",20100207,1221813200,1462827559,-1462785293,42266;142910;6040234060;25963;42775;25078;0;0,25004;7939;11206;5083;316;22477;2010;6313;16199;19920;14567;5862;6014,20505;17997;20880;10742;6484;2600;20100;6507;8399;2669;10148;5838;10041,Um3S4B4Q2nCqyHMM31mTP5dW3xP0F8UbTFJHYxsU5Xuz5Yrs6Gav3xEFi0Os83Ax
0,000007,"000007's n,a,\"m\"e,",20201114,2020999667,978585418,-978510948,74470;917089;68295617830;25894;75007;25510;1;-63.44147,28803;90195;114206;34781;120110;77711;96211;106156;49359;8235;2742;80697;107883,59883;94601;27312;94798;31158;91006;72680;23073;120834;115292;69835;99853;16764,ijt5sue1HtxbJrjuzbxvVghOz4jlQUygJOdsbzDxvMMlve/tl7kVjerwYCpFlA55
0,000008,"000008's n,a,\"m\"e,",19810607,1899035524,1123656349,-1123652056,4293;616908;2648386044;84414;84728;3438;0;0,71191;33903;80292;87524;62960;56382;23956;4290;18466;40821;37925;5458;93740,84117;1887;66469;11394;15359;39933;85987;21993;69543;31964;41034;73562;73666,Dsa/lM2tnLtZnmv08ryL2+K9gqMsTPwmnBQ+jPKLULSPQj4X2SUyWETkvvAQqH7u
0,000009,"000009's n,a,\"m\"e,",19750216,745789130,818981436,-818957232,24204;798861;19335631644;71383;72189;23937;0;0,95903;103511;38362;9808;896;103417;103205;82128;16047;46190;8788;90055;100551,58357;29854;82558;15976;45950;72714;50525;108618;114224;41480;6513;93190;78902,HqP59TtxeqSTPSZLBTzo+XOPAq2N5EsBqr38hMxo/jUnqy2vK2pUo7oMdFLHyl0j
