0,000010,000010na me,20091206,1520230814,1598490808,-1598455531,35277;772777;27261254229;80144;80340;34731;0;0,31964;30227;26422;118262;69960;58774;113960;37412;130594;22718;23782;42176;66526,133801;49157;120600;517;56912;52865;56283;40437;95059;44733;51494;55630;15289,Gp/J+qlMfSQO82/Nrro3iWi5zm6jB9ozTu0C6STukNE=
0,000020,000020na me,20090112,556235247,2039743799,-2039660306,83493;244563;20419298559;70671;84118;69714;0;0,28014;3107;21840;22627;24659;22016;11224;29891;7085;18485;6360;25607;23648,14624;17538;29889;29522;6167;13744;14467;20065;33346;30508;15700;14096;4897,vvS58gnnkhe9pcoJ7mobKGoE3JeahTxt6Arwvi1Fgy72T8bCkU+5Cosxrj1HHwoq
0,000030,000030na me,19950501,664811763,158747201,-158700436,46765;488983;22867289995;54840;55175;46549;0;0,49595;20540;45056;39134;45983;60165;48222;6567;50806;13053;19864;34408;55590,33968;2659;64313;32405;41539;60356;66479;69380;20129;18594;23306;44890;10965,qvvplN6CRj88ta3fLsRUOFTYMGoVg2WKQ2lL+CCpEdU=
0,000040,000040na me,20211024,1845619550,1641671240,-1641665514,5726;906467;5190430042;86602;87184;5477;0;0,69978;11574;81657;95579;65482;115265;116039;2099;31494;9356;87638;97908;122398,5316;79645;11390;109613;52552;79838;72663;72257;8362;55105;143537;83196;132993,uOzY8XssyFJbPuFvMyUM4xmBDG4tgjjqECBgf8Ng9ElgvsNgZiM32xcGayXjrZfI
0,000050,000050na me,19750815,726760149,1627569631,-1627534194,35437;795265;28181805805;73372;73661;34473;0;0,117615;127773;132866;58723;23888;28954;38249;7386;37738;6858;69551;30209;115455,29507;126251;15789;29777;93056;54379;26148;54555;92568;75892;10582;70952;115809,hj8wF7O3ZlDbfdKIyT1HPuYIsbauBdVPdSsRibGiEOuwvLGGwRXYFpNHG76PPH/4
0,000060,000060na me,20000112,550323817,1870890672,-1870855862,34810;469963;16359412030;31542;35505;31512;0;0,16438;78769;92822;36724;28330;21493;397;10340;91510;6733;67942;7186;11279,56216;15587;35378;41000;38825;42049;10639;9471;23533;61145;61976;20382;53762,VShuLVm1XUfbhesuChMv+VFTW9FjkXzADPqAUoshc2Y=
0,000070,000070na me,20230216,389729925,2006493634,-2006418383,75251;523312;39379751312;80414;80599;74898;0;0,27450;24446;28515;10797;83017;34762;50730;55237;1059;72183;68377;27918;38821,54062;69269;59867;12084;36076;26531;47132;69194;77197;4873;6806;43547;16674,EcPImY/CcWIsvTm5kXUU6xVRGW7DQCFh8t5QRoHv4yRai9mtdMZXIfbgXUHODzi8
0,000080,000080na me,19790804,365269996,379578944,-379550694,28250;2240;63280000;51090;51809;27660;0;0,82;86;149;217;261;189;240;302;8;169;152;197;188,42;9;231;265;12;337;339;139;81;90;213;275;207,8kCVTIJttYNy78W6dek/DIhmPAC+Tnz19qw2A6bf8BakzXXpGP91QAli60t1my5y
0,000090,000090na me,20001018,1023457214,1599176137,-1599139558,36579;753753;27571530987;10784;37318;10328;0;0,78234;118755;134708;95235;5359;24958;12154;5511;98880;15055;105719;47866;11319,15536;63747;77941;71202;65944;4118;52018;102112;102809;85152;86617;15708;10849,+jPh7uGdlhQbNpJD2Q++hmgNUKCXXlLcoxAEwKYNPhT/4PAhp51INLmIrjgIJlUV
0,000100,000100na me,20130105,235904701,1443596109,-1443555825,40284;480643;19362222612;69870;69970;39507;0;0,65299;65258;31863;64699;56782;22565;13796;45790;35881;9677;20829;25287;22917,8749;40069;26891;7001;27717;16836;42412;32360;60014;65525;28449;61653;62967,Wh+S1aetPJn4Jvg5LHRcVoCK7ErCMC/E/AMDEHhWXf0=
0,000110,000110na me,19711211,775896548,452946960,-452905855,41105;597860;24575035300;55189;55702;40517;0;0,63189;17754;54886;17680;13757;60654;25873;23686;53684;65957;57429;67727;75584,5916;84527;50345;58575;44937;72205;5510;2462;81052;2283;85366;73976;30706,yCl5BoR7k1xjfO8sVZi2RYKlmtWour4bvCXtapZbNoc=
0,000120,000120na me,19781117,951165358,243330306,-243269954,60352;450869;27210845888;78810;79582;59623;0;0,16324;36815;17565;7029;79542;14198;55636;27188;53555;17238;6662;91871;27246,11616;41864;44326;51026;38474;27514;33621;44989;10475;36857;18877;42280;48950,ZO1jS5KWOjmSqojwkRvgPyVEl05tTpKUa07BbrLekyY=
