0,000010,000010na me,19881130,1500050614,1719499866,-1719431271,68595;167461;11486987295;63315;69594;62718;0;0,8325;6909;17298;3803;2573;5549;15283;21150;8969;20752;22103;20770;13977,16399;15732;8387;10169;13195;13185;15872;6270;10614;10726;14496;17162;15254,b+PEiTx80SrDF+7z7ca1KTeOAgAT1Af/C5r46IKXD10=
0,000020,000020na me,20140508,620638017,410757265,-410739557,17708;790990;14006850920;89919;90619;17451;0;0,127875;14597;53269;53731;118033;68991;34224;87680;21759;21570;33911;3846;151504,11089;41271;22292;55207;139011;61517;85355;123962;114414;15350;53633;58165;9724,omluX3/8fvnw9+OqqlT6okHVO2Vw094OvnTxTFnd0LF3KfpiPDQMX9ippDkGh6WE
0,000030,000030na me,20020901,1622971619,518217089,-518211944,5145;240392;1236816840;30309;30981;4311;0;0,12945;5888;11879;38235;13087;3250;41398;15694;23372;25362;29788;10243;9251,26064;29;14612;20571;23784;5265;18190;28533;28532;27605;26748;19420;1039,SWvhcrjc7pJcNwza+9HJhmh5v2Ph7p2JWurZnANcLxA=
0,000040,000040na me,19990411,658359313,223057349,-222972450,84899;156675;13301550825;54883;85088;54177;0;0,639;3072;3097;3507;13179;23273;11344;14248;19862;18190;20579;4560;21125,5949;13092;14373;21121;16167;15200;23270;7714;4547;8637;4924;6456;15225,xhcnHJYl6hUIMMwpvkKRQCt9DI9Ic/8slP4zsObTS4SQuBOK4pknk5vDjZgNqiPl
0,000050,000050na me,19891111,541354711,1469243646,-1469238157,5489;894995;4912627555;49671;50197;5436;0;0,51621;79491;92317;88151;92793;71072;54929;19365;24625;113553;116195;81825;9058,66621;30697;79498;62089;10630;25016;79953;97622;89955;107483;102233;106741;36457,FtbtgKoLrkHFFILQCBkfZgYeEOw88EFgTooG3tlgnWN+wOR+OWG2HKa108M6lBG2
0,000060,000060na me,20120916,1922903182,1658621649,-1658594803,26846;264994;7114028924;32491;32623;25882;4;0,9239;449;48387;21766;47061;2180;8743;19041;21245;872;29275;35044;21692,13511;36689;16756;32307;7928;5148;23222;25261;30628;27952;14066;11985;19541,eZzE3Y86W9Xw3Fho1JeTEv39qiCXslg6j6hE7/dj6ayoqTjV7SQdEFu3ZW8PZd2l






































1,001,38196,634395,92812,93331,37479,24231351420
1,101,43429,156047,27989,43936,27463,6776965163
