0,000010,000010na me,19830808,243138601,312116525,-312086479,30046;161834;4862464364;22235;30719;21946;8;0,14452;12971;5212;10899;9577;11934;16894;11622;2903;6217;19408;23143;16602,11528;12619;7115;6449;17731;3916;3679;4964;14219;7244;23395;16824;32151,PI88ZIccJKFL1e5gItZV9/n4t9HzWKHDFKvgKvJLE6dUuvVZ6GNwoM7/V1bkU0CF
0,000020,000020na me,19980529,1166243024,1128272365,-1128226927,45438;380107;17271301866;45227;46199;44665;0;0,29983;13967;22541;29882;61629;922;2901;53250;39355;3997;47025;24962;49693,55464;60715;29312;46252;2688;6865;26397;11721;20697;31781;58804;27109;2302,2J/HcSGH9j7r1xHg/Lt4zpfifoTbrF+8VIJtQvylWlph7eB8xsQzQd5ni5WhdRW2
0,000030,000030na me,20140321,2089701887,1463035045,-1462952142,82903;589672;48885577816;8983;83333;8652;0;0,88049;74005;4754;11341;8534;9145;50906;52094;56926;66778;50398;60101;56641,39612;71632;50902;53283;33452;70481;42013;10658;52380;29803;2759;70785;61912,S6nCOXYp5FtXrN7N5mUYbRjdqdNScTZurL8FYKEaL7YIvmHE07rrLqjhOux87JON
0,000040,000040na me,20200119,374681036,1732814505,-1732715193,99312;8296;823892352;33909;99381;33701;0;0,741;798;1042;18;373;704;855;1000;239;996;411;619;500,1313;255;645;1785;698;44;1375;518;785;29;318;478;53,LTjE6KuS5S2RVItjCU9O+DsvKYFTzzfnwiDNFfqM8H2ICJhn5lGDSr1nEAfWNonn
0,000050,000050na me,20020715,1672210109,1389251599,-1389207945,43654;530445;23156046030;50737;51203;43026;32;0,60638;32862;46951;71644;29589;62509;14442;12160;44731;21849;47970;34632;50468,50440;27293;54143;14583;20024;56672;17086;54164;58548;59491;23629;17490;76882,3b/EDdX8L7gKiFq8Y9OA/PQuZhu32Ocw9sfaD78GffsFMb1darFTemd70lDW5y0l
0,000060,000060na me,20110616,1686599082,814382527,-814292783,89744;157747;14156846768;91804;92713;89344;0;0,13632;19049;1946;9081;11459;5990;21358;14575;24311;9877;23471;2799;199,2259;23057;8011;10648;23088;2856;8424;1676;19332;9113;20591;11843;16849,dc0IEQW1SjYawmdvNLCk9ALa6BI4+tg3PNceAX3ygGY=
0,000070,000070na me,20020215,1677980241,1493339020,-1493300547,38473;85596;3293134908;72945;73002;37965;0;0,10004;1156;9641;2804;10580;8998;1709;8447;9790;3046;9338;2433;7650,6251;6744;5955;1067;3294;9470;5435;9516;4865;3885;10413;9524;9177,LTdZAiL0yFmLrkGZShRjonCBlqvsIHef8/9CueXn9eo=
0,000080,000080na me,20200103,1908222382,1292477855,-1292410017,67838;279328;18949052864;88550;89153;66916;0;0,7770;21491;24539;5497;20652;39945;39920;18486;19652;24595;16325;30992;9464,2890;29229;22060;26662;22786;20808;32884;16899;26512;33178;13817;4991;26612,7qDGzRVxTNvBMIcy+jZ5RANf79enmg94lgcXpkwyTO6wIeEgiwQCsDWpbXcTqOV2
0,000090,000090na me,20090625,381795288,497741620,-497700615,41005;679168;27849283840;27325;41307;26899;256;-87.75874,52198;16863;37968;56959;92662;2441;87394;37661;47813;13004;82667;77463;74075,4794;13360;101716;35234;36701;43463;44886;57683;17132;104510;75522;67251;76916,L/0csn6IwasRzrshrvbWJZK0I7wmYfo031y480HgOEf4JPGlFS0fmiv5xEyYsUeW
0,000100,000100na me,20140104,97452489,636713934,-636705453,8481;773756;6562224636;28699;29233;7838;1;0,27123;107368;104288;48918;90712;59225;96246;689;96311;49757;43721;20092;29306,37000;118766;10012;33107;2003;62945;46775;23653;83852;117544;29597;102751;105751,DVrfnowxnQ1JosWheCHcA2BSQlusC2qINfsEyLgPF6gi0Z1eULMKEn5+B7Zr3/XG
0,000110,000110na me,20181108,927124512,1853226822,-1853192832,33990;543568;18475876320;17960;34987;16999;0;0,21202;23893;60703;36823;63110;16946;62109;51836;10786;20139;63556;49196;63269,8761;17543;24272;57752;23851;64525;35773;52150;3414;66973;56583;90093;41878,P5yu3lmBaQ1W0BI6+0wH4lrNXK6MxHDmixcIvEvO1uWHeRxzHgZYC1EeUrfY8RcZ
