0,000000,"000000's n,a,\"m\"e,",19741223,1159263630,10006164,-9965236,40928;641811;26268040608;44900;45220;40124;0;0,78064;13370;10221;7259;81402;46161;70711;2373;42255;98996;42918;82870;65211,35993;58193;37934;60215;68909;44584;3935;68195;60880;79030;24814;63024;36105,SLIbtl8zw4mUde6XkZww/AgdkHTDZN5lgH8oB8bc4XS238MwlGCOOIr64l0FiPky
0,000001,"000001's n,a,\"m\"e,",19820324,873324512,1277226924,-1277203738,23186;739198;17139044828;27720;28297;22601;0;0,98000;81442;60122;88215;46939;76508;59537;25017;68082;19456;76978;30044;8858,31182;105290;77835;51909;27916;67795;19216;110693;15001;89709;31487;35512;75653,dLzojPgwiSEoVHGvldRqRO65gyiV+010E2viVkRFjYSAd+X3HtLuKVWFrzgXIz2m
0,000002,"000002's n,a,\"m\"e,",20091201,918130447,388083627,-388016222,67405;738389;49771110545;82896;83088;66532;0;0,142870;35299;218;21121;62889;57677;109715;68736;25558;7865;33593;144533;28315,64913;51566;77798;32099;95563;54944;71878;79923;1527;30314;53459;76929;47476,FRAgGcFa03TFGIOtqg1/5rFA2tcLcqFySENqpGrNe88GySl3q4a/imqN9+S6mvtn
0,000003,"000003's n,a,\"m\"e,",20150428,139403305,2227062,-2189239,37823;502135;18992252105;57208;57629;37475;8;0,34521;10960;22422;68215;34064;61404;50535;18138;11509;74394;9396;57412;49165,58122;33286;13455;20444;67085;63576;44805;57693;30135;20327;54473;7894;30840,QIHO1/Qh8Kvfj24as1wYhArnA5eN/PmeYghSLG2e8xokom4qmh1LwkZarg15TY9t
0,000004,"000004's n,a,\"m\"e,",20060415,1622851968,1017825897,-1017751602,74295;23643;1756556685;35034;74927;34602;64;-61.36528,2974;2870;1275;110;1498;328;1717;3496;1570;1714;1782;604;3705,1211;396;1184;1864;1921;2186;24;2792;1619;2574;3281;1589;3002,KgwommSTjJ3YkcpdvQsx6fqnvufM25fq039w/PWigptWKv3lInI/0yameQeq13xy
0,000005,"000005's n,a,\"m\"e,",19820913,887274937,1370486645,-1370436529,50116;301633;15116639428;33345;50736;32844;0;0,30495;33671;44546;15049;37801;1960;23204;21183;34748;1717;8901;43022;5336,29577;46861;3311;40789;17383;16706;16585;10069;43030;14823;26129;21366;15004,zjvG0Fhy2IS9IYmqdphS8KB13hBXFv/1Z+ogk4gJagA7T4AXaiQ1k9I7sF+KlHXt
0,000006,"000006's n,a,\"m\"e,",19700611,400432189,1888692844,-1888682561,10283;865546;8900409518;80351;80991;9711;0;0,86777;84491;35329;115118;125733;47813;7156;8502;124262;38672;3241;85082;103370,94307;60381;66898;36869;21873;136716;41310;103869;54449;52532;123389;66028;6925,DVxfBmxxby8GOLdQnThPlzVSs3s9rlds0v3uBTnAt/AD/qsLYs3oK6CEwhJz00f9
0,000007,"000007's n,a,\"m\"e,",20080320,1191240158,1348019505,-1347994407,25098;123383;3096666534;55101;55410;24855;32;-15.97132,11425;9396;7512;19247;3056;16399;6961;4890;8291;12961;3868;10377;9000,11700;10268;9242;11694;10931;14572;5439;5360;7765;8038;17406;1489;9479,Q7KS5kNX+o3bnTcG725S8wgtGKtyNzQClu4Za0+/gRV8btkkHx+f8/GjtjJ0YGt/
0,000008,"000008's n,a,\"m\"e,",20000326,1546400879,1622638331,-1622566234,72097;2431;175267807;42239;72768;41893;0;0,292;281;356;48;325;9;43;160;292;310;277;35;3,327;24;319;308;163;11;63;78;24;214;415;302;183,M0+VSCkNPTVtVXKROVC/IhxFkCJFBFKsuxNjSOW7EmwVWzLlh7C6uD0PL4BiVxGG
0,000009,"000009's n,a,\"m\"e,",19890906,1058910211,1516948261,-1516921901,26360;730772;19263149920;53450;53631;25905;0;0,88254;78901;54621;108002;32093;20268;119325;76569;8255;39035;49634;52570;3245,83185;2712;88182;37642;38132;102680;84834;86076;36444;8985;56676;58707;46517,yLuZ9eGksjtffn+/AaEIm1Qivjm0DP8vPN5aIGjzQNM6bqOx4NddbFKpKTDcA81K
0,000010,"000010's n,a,\"m\"e,",19900226,1575874649,1188542205,-1188508194,34011;931393;31677607323;58862;59503;33732;32;-88.85517,28258;60383;96825;123116;25502;54662;50205;73877;31898;122795;76981;100289;86602,76088;31274;129542;88806;2297;5475;61750;85209;145562;57646;130885;81316;35543,bVH6ODjtKofYNudOQRZGxprrxuUcmokS0/jm12Zeh2hUp1k1XhQyOOPLebj2cgAt
0,000011,"000011's n,a,\"m\"e,",20200124,1590077733,1582668766,-1582592125,76641;971644;74467767804;16453;76735;16089;0;0,117150;77652;124586;71636;41036;126924;68635;31520;73274;109321;116126;7009;6775,17893;108196;7873;39703;134375;139199;72940;38604;14123;134476;64876;144941;54445,OTrtjdpBKw7oNGUpuXBe0PbZ5ZlG5+D/moAs9TnTH4MMerjh6q71LMrCXZnKcb/a
0,000012,"000012's n,a,\"m\"e,",19880704,1816961173,1052503798,-1052421276,82522;984036;81204618792;52233;82948;51522;64;-39.18354,119184;85921;127209;85507;12463;126834;146887;14351;121066;31816;3450;106553;2795,96498;120143;27200;59518;66095;35869;101613;90030;62888;74669;126796;34740;87977,1soOnRSr9C8UvWdj9ZAjacv99Z+4Cz8x1h13KSJrivWLegqJ1yMWL2ztpmJse5j9
0,000013,"000013's n,a,\"m\"e,",19840309,1512567480,584514189,-584472329,41860;418582;17521842520;35169;41924;34417;64;0,9181;25648;24725;30973;14217;48594;43457;46671;20497;2064;49655;46731;56169,20688;65445;14953;47650;40993;42359;15390;62982;53565;16089;28181;224;10063,MNN7F6BK0NDxDDVNm2LGM/LlN/hUwwmVVf3WVNjKTgiM537aOI/uYDVzcBdAmhsn
